"Title","Sex","Age_Class","Year"
"950","FemaleJ","Adult",1998
"952","FemaleJ","Adult",1998
"961","FemaleJ","Adult",1998
"9901","FemaleJ","Adult",1998
"9915",NA,"Adult",1998
"1","Male","Adult",1999
"10","Male","Adult",1999
"1019","FemaleJ","Adult",1999
"102","Male","Adult",1999
"1022","FemaleJ","Adult",1999
"1040","FemaleJ","Adult",1999
"1114","Male","Adult",1999
"1146",NA,"Adult",1999
"1147","FemaleJ","Adult",1999
"120","Male","Adult",1999
"127",NA,"Adult",1999
"131","FemaleJ","Adult",1999
"1332","FemaleJ","Adult",1999
"1334","FemaleJ","Adult",1999
"1336","FemaleJ","Adult",1999
"1438",NA,"Adult",1999
"1461","Male","Adult",1999
"1469","FemaleJ","Adult",1999
"1470","FemaleJ","Adult",1999
"1472",NA,"Adult",1999
"1493",NA,"Adult",1999
"1602","FemaleJ","Adult",1999
"1605",NA,"Juvenile",1999
"1618",NA,"Adult",1999
"162","FemaleJ","Adult",1999
"1621",NA,"Adult",1999
"1622",NA,"Adult",1999
"1623","FemaleJ","Adult",1999
"1626",NA,"Adult",1999
"1628",NA,"Adult",1999
"1630","FemaleJ","Adult",1999
"1631","FemaleJ","Adult",1999
"1632",NA,"Adult",1999
"1633","FemaleJ","Adult",1999
"1634","FemaleJ","Adult",1999
"1645","FemaleJ","Adult",1999
"1651","FemaleJ","Juvenile",1999
"1662",NA,"Adult",1999
"1667","FemaleJ","Adult",1999
"1672",NA,"Adult",1999
"1674",NA,"Adult",1999
"1676","Male","Adult",1999
"1677",NA,"Adult",1999
"1687",NA,"Adult",1999
"1692","Male","Adult",1999
"1693","Male","Adult",1999
"1695",NA,"Adult",1999
"1696","Male","Adult",1999
"1697",NA,"Adult",1999
"17","FemaleJ","Adult",1999
"170","FemaleJ","Adult",1999
"2102","Male","Adult",1999
"251","FemaleJ","Adult",1999
"3","Male","Adult",1999
"33","Male","Adult",1999
"37","Male","Adult",1999
"413","Male","Adult",1999
"45","Male","Adult",1999
"480","Male","Adult",1999
"531","FemaleJ","Adult",1999
"54","FemaleJ","Adult",1999
"549","Male","Adult",1999
"624","FemaleJ","Adult",1999
"653","FemaleJ","Adult",1999
"674","FemaleJ","Adult",1999
"723",NA,"Adult",1999
"76","Male","Adult",1999
"804","Male","Adult",1999
"824","Male","Adult",1999
"832","FemaleJ","Adult",1999
"905","Male","Adult",1999
"94","FemaleJ","Adult",1999
"952","FemaleJ","Adult",1999
"9904",NA,"Adult",1999
"9908",NA,"Adult",1999
"9911","Male","Adult",1999
"9914","FemaleJ","Adult",1999
